PERIODO;XNPT;XPNOT;XOTROS;XNT;IMPBCON;IMPINS;IMPBCAP;IMPOTROS;IMP;BAL
2017-04-01;2333.27;798.45;7.92;3139.65;690.40;1414.87;846.74;24.98;2976.99;162.66
2017-05-01;2571.39;966.65;9.00;3547.04;792.12;1432.77;937.28;8.22;3170.39;376.65
2017-06-01;2912.87;946.08;10.58;3869.54;772.23;1384.99;900.78;8.06;3066.05;803.49
2017-07-01;2454.97;984.65;7.56;3447.18;789.79;1379.01;1015.77;20.03;3204.61;242.57
2017-08-01;3034.44;1022.38;10.62;4067.44;876.94;1585.07;1035.59;7.11;3504.71;562.73
2017-09-01;3385.70;994.51;13.46;4393.67;832.34;1509.47;958.52;11.14;3311.47;1082.20
2017-10-01;2940.45;1033.51;12.60;3986.56;889.31;1653.63;1051.21;9.65;3603.80;382.75
2017-11-01;3132.47;1068.78;11.47;4212.71;851.08;1603.46;1072.76;20.43;3547.73;664.98
2017-12-01;3318.11;1252.96;13.32;4584.40;761.12;1630.13;946.45;6.88;3344.57;1239.83
2018-01-01;2947.26;1128.62;12.75;4088.62;740.76;1682.21;947.62;35.90;3406.49;682.13
2018-02-01;2670.48;990.59;9.91;3670.98;752.36;1489.86;857.61;7.46;3107.28;563.70
2018-03-01;3153.47;1023.11;14.92;4191.50;857.31;1647.62;1011.84;8.01;3524.78;666.72
2018-04-01;2761.64;1031.25;14.30;3807.18;800.53;1686.23;973.47;6.59;3466.82;340.36
2018-05-01;3118.45;1114.55;12.00;4245.00;822.69;1826.22;1007.48;9.10;3665.49;579.51
2018-06-01;3434.99;1094.56;11.04;4540.59;752.74;1696.58;915.84;6.18;3371.33;1169.26
2018-07-01;3015.24;1068.53;14.07;4097.84;808.04;1727.51;998.29;7.65;3541.49;556.35
2018-08-01;2887.52;1157.90;13.11;4058.53;824.71;2008.14;1003.06;12.51;3848.43;210.10
2018-09-01;2822.91;1047.65;15.32;3885.87;790.45;1666.29;907.09;7.71;3371.54;514.33
2018-10-01;2775.03;1190.20;23.87;3989.09;879.61;2067.29;1058.27;7.34;4012.52;-23.43
2018-11-01;3004.24;1137.82;26.93;4168.99;836.93;1551.83;1034.06;7.44;3430.26;738.73
2018-12-01;3046.50;1255.41;20.38;4322.28;724.38;1465.83;926.31;6.98;3123.50;1198.77
2019-01-01;2709.79;1241.67;13.10;3964.56;782.95;1697.44;986.32;18.18;3484.89;479.67
2019-02-01;2563.95;962.95;12.84;3539.74;756.47;1551.16;901.18;4.91;3213.72;326.03
2019-03-01;2696.48;1060.59;18.48;3775.56;787.97;1541.31;942.85;5.95;3278.07;497.48
2019-04-01;2763.23;1021.00;14.71;3798.93;728.39;1723.10;1019.27;5.86;3476.63;322.31
2019-05-01;2644.47;1060.53;14.15;3719.14;801.30;1635.54;1113.45;7.32;3557.61;161.53
2019-06-01;2954.99;1147.26;10.69;4112.94;754.65;1462.12;955.28;8.41;3180.46;932.48
2019-07-01;2983.24;1238.53;7.73;4229.50;827.51;1606.23;1092.72;8.79;3535.25;694.26
2019-08-01;2843.87;1092.77;13.09;3949.74;839.60;1672.05;1101.50;9.52;3622.68;327.06
2019-09-01;2834.15;1162.64;17.44;4014.23;837.16;1528.09;1010.61;9.61;3385.48;628.75
2019-10-01;2952.66;1212.22;16.04;4180.93;887.37;1757.27;1062.98;6.02;3713.64;467.29
2019-11-01;2806.00;1230.49;10.15;4046.63;769.81;1422.91;1057.85;7.12;3257.69;788.94
2019-12-01;3504.68;1381.66;5.34;4891.68;814.53;1513.11;1061.28;10.49;3399.41;1492.27
2020-01-01;2692.29;1207.98;13.69;3913.96;808.37;1718.72;1060.62;13.29;3601.00;312.96
2020-02-01;2546.61;1013.75;13.33;3573.68;767.97;1369.82;840.75;5.22;2983.77;589.91
2020-03-01;2043.48;811.67;12.47;2867.62;596.40;1231.20;746.07;4.39;2578.05;289.57
2020-04-01;1296.05;561.11;7.96;1865.12;489.70;1119.05;705.65;7.52;2321.93;-456.81
2020-05-01;1294.24;709.25;7.50;2010.99;557.39;1043.72;609.09;4.65;2214.86;-203.88
2020-06-01;2074.46;828.71;7.22;2910.38;641.87;961.23;653.81;4.82;2261.73;648.66
2020-07-01;2645.10;1052.84;8.82;3706.75;757.21;1163.73;799.94;4.90;2725.78;980.97
2020-08-01;2460.16;1174.67;8.61;3643.45;754.69;1122.14;881.93;9.68;2768.43;875.01
2020-09-01;3083.64;1291.74;8.86;4384.24;805.10;1238.40;913.24;15.70;2972.44;1411.80
2020-10-01;3261.49;1455.23;10.61;4727.33;875.74;1300.82;1055.90;8.47;3240.93;1486.40
2020-11-01;2977.30;1319.69;9.93;4306.91;824.76;1501.92;986.65;6.13;3319.46;987.45
2020-12-01;3562.02;1456.50;12.17;5030.69;853.56;1664.58;1201.17;5.57;3724.87;1305.82
2021-01-01;3235.79;1289.01;12.89;4537.70;677.22;1552.94;1029.93;9.39;3269.48;1268.22
2021-02-01;3272.27;1159.36;12.88;4444.50;805.28;1633.16;1041.09;5.33;3484.86;959.64
2021-03-01;3479.53;1113.92;17.54;4610.99;913.83;1821.61;1217.14;5.94;3958.51;652.48
2021-04-01;3409.56;1197.42;15.29;4622.27;827.54;1911.03;1210.91;35.49;3984.97;637.30
2021-05-01;3708.37;1235.48;16.77;4960.61;809.62;1968.74;1206.32;5.63;3990.30;970.31
2021-06-01;3925.54;1189.89;14.43;5129.86;816.60;1937.62;1145.09;20.91;3920.23;1209.64
2021-07-01;3781.27;1419.95;17.64;5218.85;878.57;1957.79;1198.86;18.21;4053.42;1165.43
2021-08-01;3890.49;1386.57;6.72;5283.79;825.43;2124.74;1181.43;5.79;4137.39;1146.40
