PERIODO;XNT01;XNT02;XNT03;XNT04;XNT05;XNT06;XNT07;XNT08;XNT09;XNT10;XNT11;XNT12;XNT13;XNT14;XNT15;XNT16;XNT17;XNT18;XNT19;XNT20;XNT21;XNT
Abr06;27.67;22.46;5.21;7.71;0.39;0.00;6.49;0.82;1,199.79;481.99;27.25;17.41;329.98;41.78;88.42;141.22;70.88;0.86;197.18;197.18;0.00;1,432.34
May06;131.02;120.30;10.72;33.43;0.60;0.00;32.31;0.52;1,226.90;508.15;34.77;22.75;367.84;44.90;39.21;145.18;62.46;1.64;110.14;110.14;0.00;1,501.49
Jun06;202.42;146.48;55.94;43.82;1.17;0.00;41.77;0.88;1,191.92;476.96;32.23;15.56;356.69;38.81;29.88;177.72;62.75;1.31;175.05;175.05;0.00;1,613.21
Jul06;205.90;203.26;2.65;58.10;0.92;0.00;56.42;0.76;1,414.67;672.25;37.63;28.61;353.00;38.05;77.37;151.47;53.31;2.98;212.55;212.55;0.00;1,891.22
Ago06;86.84;70.37;16.47;74.22;0.30;0.01;73.21;0.71;1,223.97;489.73;37.28;20.45;320.28;42.24;48.56;197.91;65.05;2.47;136.36;136.36;0.00;1,521.39
Sep06;113.32;85.99;27.34;66.88;0.09;8.54;57.61;0.64;1,432.50;706.99;22.69;21.98;378.78;34.75;25.80;159.68;80.85;0.98;157.66;157.66;0.00;1,770.37
Oct06;47.97;38.34;9.63;89.37;0.81;0.00;87.67;0.89;1,249.73;491.59;58.05;19.26;294.76;44.33;96.73;189.84;52.89;2.28;129.64;129.64;0.00;1,516.71
Nov06;55.73;46.90;8.83;82.27;0.71;8.34;72.83;0.39;1,400.15;568.19;47.34;16.01;355.90;47.13;43.51;226.52;93.96;1.59;117.46;117.46;0.00;1,655.61
Dic06;114.70;97.81;16.88;64.18;0.52;7.96;54.68;1.02;1,693.27;647.65;37.11;25.57;341.45;47.39;159.47;344.97;87.13;2.53;205.56;205.56;0.00;2,077.71
Ene07;130.37;108.23;22.15;31.42;0.42;0.00;30.35;0.66;968.98;354.73;49.63;20.45;297.34;47.17;47.67;97.38;50.89;3.72;143.90;143.90;0.00;1,274.67
Feb07;176.35;153.08;23.26;20.92;0.35;0.00;19.56;1.01;1,091.03;374.41;13.35;16.76;287.48;43.08;81.09;225.68;45.86;3.33;174.13;174.13;0.00;1,462.43
Mar07;125.35;123.42;1.93;16.16;0.50;0.00;14.13;1.53;1,370.70;548.39;37.18;29.72;362.80;45.59;96.03;196.59;50.64;3.75;124.66;124.66;0.00;1,636.88
Abr07;78.02;74.95;3.06;8.54;0.02;0.00;7.02;1.50;1,396.13;556.88;47.19;26.23;288.20;44.01;73.17;283.44;73.39;3.62;160.25;160.25;0.00;1,642.94
May07;103.72;102.04;1.68;19.61;0.52;0.00;18.12;0.97;1,389.59;537.51;64.93;24.00;361.22;41.59;95.77;186.47;73.54;4.55;150.83;150.83;0.00;1,663.75
Jun07;129.79;94.77;35.02;26.03;0.52;0.00;24.67;0.84;1,556.86;644.24;45.57;16.22;278.91;39.76;68.15;367.39;91.32;5.30;206.33;206.33;0.00;1,919.01
Jul07;195.74;117.58;78.16;49.81;0.00;0.00;48.56;1.25;1,670.70;722.80;77.23;37.60;278.99;45.40;139.92;286.83;76.33;5.60;225.83;225.83;0.00;2,142.08
Ago07;142.16;126.54;15.62;68.04;0.39;2.51;64.60;0.54;1,433.53;632.77;59.34;10.00;345.48;41.26;57.80;149.72;132.61;4.56;166.25;166.25;0.00;1,809.99
Sep07;129.47;110.81;18.66;62.68;0.02;6.05;55.90;0.72;1,590.86;687.78;18.00;29.29;390.94;46.16;114.57;188.21;113.45;2.46;229.54;229.54;0.00;2,012.55
Oct07;74.16;61.13;13.03;69.45;0.00;10.22;58.23;0.99;1,650.37;757.22;67.28;31.31;332.36;50.54;57.74;267.67;80.33;5.92;228.60;228.60;0.00;2,022.57
Nov07;61.07;47.65;13.42;40.33;0.45;0.00;39.09;0.79;1,523.04;730.26;40.51;23.75;441.84;38.59;61.36;87.09;97.62;2.01;230.11;230.11;0.00;1,854.54
Dic07;113.97;90.75;23.22;47.45;0.04;0.00;46.72;0.68;1,797.57;672.09;74.89;20.09;521.83;55.06;139.68;202.94;105.19;5.79;266.01;266.01;0.00;2,225.00
Ene08;195.75;121.76;73.99;21.92;0.13;0.00;21.02;0.78;1,483.02;491.14;88.43;24.26;409.50;50.37;116.43;178.19;119.66;5.04;217.10;217.10;0.00;1,917.79
Feb08;127.37;121.44;5.93;14.85;0.37;0.00;13.01;1.47;1,540.86;605.29;56.49;23.83;499.66;54.67;107.61;104.50;81.43;7.38;228.43;228.43;0.00;1,911.52
Mar08;136.77;124.72;12.04;10.00;0.02;0.00;8.03;1.95;1,769.68;761.01;66.45;28.08;497.24;66.69;116.27;144.10;84.81;5.02;237.85;237.85;0.00;2,154.30
Abr08;108.89;102.54;6.35;12.60;0.00;2.31;9.35;0.94;1,697.60;805.01;59.51;24.36;404.62;45.26;113.21;157.58;85.77;2.29;253.51;253.51;0.00;2,072.59
May08;163.76;135.60;28.17;29.72;0.10;1.95;26.13;1.53;1,833.82;767.53;64.94;22.50;525.31;62.37;96.73;147.04;143.02;4.39;224.46;224.46;0.00;2,251.76
Jun08;164.06;142.46;21.60;52.31;0.00;0.00;51.32;0.98;1,558.73;669.01;51.22;43.43;475.70;49.11;65.57;110.10;90.65;3.93;374.55;374.55;0.00;2,149.65
Jul08;284.43;202.43;82.00;73.26;0.35;0.00;71.45;1.46;1,689.49;690.35;34.60;24.58;486.36;76.13;117.82;152.36;103.60;3.69;269.63;269.63;0.00;2,316.81
Ago08;227.68;171.51;56.17;109.57;0.00;0.00;109.03;0.54;1,520.79;666.09;53.95;50.94;446.51;49.17;76.05;114.97;59.05;4.06;330.33;330.33;0.00;2,188.37
Sep08;121.05;96.75;24.30;104.34;0.15;0.00;102.32;1.88;1,533.37;601.25;48.90;49.84;475.75;42.12;126.68;116.58;68.19;4.06;150.52;150.52;0.00;1,909.28
Oct08;84.09;66.41;17.68;108.18;0.74;15.16;91.38;0.90;1,227.19;425.76;42.63;38.81;466.49;33.55;82.95;89.70;44.27;3.03;177.84;177.84;0.00;1,597.30
Nov08;81.67;54.31;27.36;91.29;0.21;2.20;88.06;0.83;1,129.43;438.04;52.56;39.76;411.41;31.97;48.41;71.77;33.29;2.23;117.19;117.19;0.00;1,419.58
Dic08;101.87;72.68;29.19;57.90;0.23;3.10;53.99;0.57;1,116.99;356.49;43.10;14.71;487.48;34.04;67.93;81.41;29.34;2.50;100.02;100.02;0.00;1,376.78
Ene09;119.88;91.36;28.52;27.10;0.22;0.00;26.51;0.38;928.05;248.94;54.32;22.26;467.04;39.36;36.83;38.57;17.67;3.04;73.55;73.55;0.00;1,148.57
Feb09;129.72;116.08;13.64;23.29;0.56;8.79;13.44;0.50;1,099.76;318.38;53.04;20.08;515.87;39.23;73.14;48.00;29.61;2.40;108.04;108.04;0.00;1,360.80
Mar09;159.09;141.40;17.69;10.63;0.44;0.52;8.94;0.73;1,139.10;392.46;52.58;23.69;499.34;42.58;35.28;75.34;16.75;1.08;127.54;127.54;0.00;1,436.36
Abr09;88.12;56.48;31.64;10.36;0.20;0.23;8.72;1.22;1,120.91;351.93;45.26;22.66;516.48;12.20;73.81;78.63;15.20;4.76;128.58;128.58;0.00;1,347.98
May09;152.20;138.84;13.37;31.88;0.03;6.13;24.72;0.99;1,371.14;486.75;60.53;37.70;554.69;21.58;98.76;89.47;20.12;1.53;123.40;123.40;0.00;1,678.61
Jun09;257.20;228.94;28.26;48.87;0.24;0.00;47.42;1.21;1,253.68;445.86;45.95;19.37;524.38;7.34;94.46;95.08;17.28;3.97;108.87;108.87;0.00;1,668.63
Jul09;256.49;237.85;18.65;69.90;0.22;0.00;68.57;1.11;1,324.05;528.05;37.99;26.21;550.99;8.10;88.29;65.11;18.63;0.67;164.39;164.39;0.00;1,814.83
Ago09;164.40;127.04;37.36;73.40;0.41;0.38;71.85;0.76;1,351.35;460.07;47.81;30.71;616.23;14.06;56.67;104.96;20.01;0.84;211.53;211.53;0.00;1,800.68
Sep09;65.34;50.67;14.67;91.07;0.35;0.00;89.20;1.52;1,628.58;597.62;57.26;17.71;660.77;7.74;136.90;100.58;49.33;0.69;182.40;182.40;0.00;1,967.39
Oct09;58.60;32.92;25.68;85.03;0.00;0.00;84.14;0.90;1,670.33;717.02;43.23;23.80;607.14;8.26;101.41;143.46;25.05;0.96;201.39;201.39;0.00;2,015.35
Nov09;49.06;36.08;12.98;93.10;0.00;10.67;81.14;1.29;1,760.02;710.45;54.67;27.46;600.29;7.74;144.34;184.35;24.35;6.38;206.52;206.52;0.00;2,108.70
Dic09;183.11;167.84;15.27;69.73;0.02;8.18;60.06;1.47;1,834.85;677.87;38.58;26.04;677.73;5.89;175.92;209.67;21.98;1.18;284.61;284.61;0.00;2,372.30
Ene10;156.74;136.27;20.47;21.27;0.00;0.00;20.49;0.78;1,512.89;586.79;40.45;33.22;607.53;8.37;91.83;122.21;21.61;0.88;236.17;236.17;0.00;1,927.07
Feb10;205.47;183.22;22.25;34.11;0.00;15.79;16.10;2.21;1,617.08;662.25;60.73;12.79;607.62;10.43;86.36;136.99;39.02;0.89;238.68;238.68;0.00;2,095.34
Mar10;196.32;172.57;23.74;25.30;0.02;15.83;8.23;1.22;1,731.39;665.59;55.23;30.09;660.91;5.09;166.93;115.22;31.27;1.06;263.21;263.21;0.00;2,216.21
Abr10;89.73;80.49;9.25;11.43;0.00;1.08;7.35;2.99;1,750.29;751.68;65.40;34.68;617.01;7.94;84.08;153.77;34.08;1.66;207.27;207.27;0.00;2,058.72
May10;45.55;29.67;15.88;30.24;0.07;0.00;29.41;0.76;1,562.60;629.75;52.11;34.27;587.34;9.67;83.07;123.47;42.32;0.60;202.35;202.35;0.00;1,840.75
Jun10;203.10;178.71;24.39;74.96;0.02;0.00;72.59;2.35;1,937.42;734.93;82.53;27.45;734.05;7.77;145.02;170.39;27.65;7.63;228.51;220.96;7.55;2,443.99
Jul10;358.58;302.77;55.81;127.33;0.00;1.07;124.89;1.38;1,654.15;694.64;73.55;23.84;579.23;8.52;109.66;106.12;57.52;1.07;220.57;196.41;24.16;2,360.63
Ago10;196.48;173.20;23.28;137.79;0.60;2.26;132.79;2.15;1,781.10;695.12;89.76;74.54;602.65;11.02;108.25;150.63;44.94;4.19;291.23;244.63;46.61;2,406.61
Sep10;223.16;202.04;21.12;140.36;0.00;17.57;120.50;2.29;1,986.50;893.54;63.18;81.48;660.70;11.88;116.87;109.59;44.10;5.17;282.94;257.02;25.92;2,632.96
Oct10;95.84;67.33;28.51;135.05;0.32;0.68;132.28;1.78;1,917.46;792.63;70.37;54.12;641.72;9.06;167.99;127.06;53.61;0.88;272.66;230.82;41.84;2,421.00
Nov10;36.65;18.44;18.21;133.06;0.00;9.89;121.94;1.23;2,078.83;819.98;106.07;65.03;671.61;14.33;234.39;133.65;31.30;2.48;282.50;211.27;71.23;2,531.03
Dic10;76.60;65.27;11.33;104.20;0.06;0.59;102.15;1.39;2,373.13;952.24;82.24;51.77;774.25;14.14;184.37;246.98;64.51;2.63;362.04;295.81;66.24;2,915.97
Ene11;79.39;65.05;14.33;49.34;0.06;13.87;33.44;1.97;1,778.36;697.69;74.32;83.97;601.22;15.34;136.04;112.45;55.78;1.53;341.71;241.34;100.37;2,248.80
Feb11;124.53;111.25;13.28;26.86;0.03;0.48;24.13;2.23;2,127.99;963.78;93.22;88.26;659.10;17.37;126.87;139.27;36.75;3.37;326.43;242.65;83.78;2,605.82
Mar11;122.62;93.85;28.76;23.26;0.77;0.00;20.19;2.29;2,390.61;1,049.76;67.57;69.07;815.23;18.80;153.55;158.54;55.83;2.27;366.93;338.44;28.49;2,903.42
Abr11;119.26;107.11;12.15;17.86;1.33;1.24;12.27;3.02;2,147.88;756.34;74.50;97.50;753.23;17.41;235.27;162.55;49.48;1.60;340.38;225.65;114.73;2,625.39
May11;349.63;317.56;32.07;73.55;0.33;3.13;67.64;2.45;2,396.44;964.32;79.50;98.99;788.15;17.44;289.77;124.84;31.51;1.93;445.85;304.43;141.42;3,265.48
Jun11;352.88;301.64;51.24;139.50;0.87;0.01;134.83;3.79;2,408.25;1,119.03;48.45;54.62;866.37;17.15;141.16;116.39;42.34;2.72;478.15;370.32;107.84;3,378.78
Jul11;357.40;282.32;75.08;200.35;0.87;0.00;196.08;3.39;2,294.68;736.78;41.70;108.28;877.40;20.83;283.47;169.13;55.50;1.59;414.81;288.56;126.25;3,267.25
Ago11;198.16;159.97;38.19;251.52;0.87;23.39;222.70;4.56;2,778.72;1,187.77;24.95;101.85;1,025.12;22.45;243.36;129.23;37.15;6.85;384.96;276.57;108.38;3,613.35
Sep11;133.03;120.52;12.51;250.64;1.36;0.01;245.08;4.20;2,233.53;860.33;14.86;65.38;958.92;23.78;172.66;78.01;56.66;2.93;439.63;344.69;94.94;3,056.83
Oct11;128.36;97.14;31.22;222.84;0.37;5.47;212.93;4.07;2,398.23;806.68;106.61;105.51;934.05;15.48;266.20;112.89;48.61;2.21;300.96;187.53;113.43;3,050.39
Nov11;54.07;43.42;10.65;201.34;0.46;0.00;198.70;2.18;1,857.85;550.86;61.19;68.42;925.02;19.34;98.97;85.35;46.62;2.07;268.67;166.68;101.99;2,381.93
Dic11;94.18;80.27;13.91;232.29;0.46;0.00;229.23;2.60;2,713.12;1,027.69;88.71;88.23;1,031.55;14.05;279.40;133.89;47.47;2.14;459.32;297.43;161.89;3,498.90
Ene12;291.13;213.84;77.29;85.83;0.25;2.18;80.65;2.75;2,369.06;839.80;78.19;84.90;901.28;22.39;275.28;119.49;43.45;4.29;401.61;314.88;86.73;3,147.63
Feb12;209.14;176.65;32.50;47.88;0.20;1.77;44.60;1.31;2,367.32;910.65;52.28;80.40;1,052.15;17.89;98.22;106.71;47.07;1.96;345.06;199.33;145.74;2,969.41
Mar12;183.75;162.11;21.64;28.17;0.73;1.77;23.17;2.50;2,473.29;998.00;42.09;65.34;980.73;18.13;209.54;126.43;32.34;0.69;489.28;354.40;134.88;3,174.48
Abr12;162.95;119.14;43.81;18.65;0.22;0.00;15.89;2.54;1,791.08;577.51;36.93;42.10;715.53;19.17;248.72;101.07;47.81;2.24;417.95;305.39;112.56;2,390.64
May12;79.15;67.46;11.68;40.71;0.67;0.01;37.13;2.91;2,260.72;1,037.16;61.86;111.93;751.53;17.17;155.34;94.26;30.02;1.44;405.94;234.76;171.18;2,786.52
Jun12;290.45;203.39;87.06;81.89;0.15;0.04;58.73;22.97;2,120.17;761.91;39.60;93.01;798.77;16.49;254.09;117.31;37.22;1.78;387.13;303.91;83.22;2,879.64
Jul12;310.60;259.52;51.08;115.30;0.24;0.02;107.79;7.25;2,305.70;931.72;49.41;67.81;876.92;12.84;228.70;100.86;36.02;1.42;376.40;261.54;114.86;3,108.01
Ago12;290.38;190.18;100.21;154.08;0.48;0.01;151.77;1.81;2,130.31;768.49;25.97;52.80;938.18;16.43;159.36;132.34;35.13;1.60;401.56;319.85;81.71;2,976.33
Sep12;141.23;96.89;44.34;154.28;0.65;0.01;147.89;5.73;2,498.99;1,074.06;33.93;86.18;903.39;25.03;252.69;86.76;32.71;4.24;466.32;364.14;102.18;3,260.82
Oct12;162.92;151.45;11.47;159.03;0.25;0.00;156.74;2.04;2,304.02;891.05;50.90;30.59;932.74;11.97;236.33;119.68;29.85;0.92;466.98;375.46;91.52;3,092.94
Nov12;116.26;70.58;45.68;129.95;0.09;0.01;122.58;7.27;2,287.53;834.60;34.60;67.75;1,005.21;16.22;189.39;107.98;31.38;0.39;433.90;380.78;53.13;2,967.64
Dic12;73.75;58.84;14.92;79.05;0.47;0.00;76.68;1.90;2,558.48;1,105.99;52.49;62.02;889.09;15.83;267.69;139.45;25.28;0.65;403.38;250.54;152.84;3,114.66
Ene13;75.54;56.20;19.34;32.67;0.09;0.00;21.15;11.42;1,961.18;781.83;50.58;84.06;758.20;14.80;106.65;135.04;29.11;0.92;528.20;338.94;189.26;2,597.59
Feb13;82.49;63.98;18.52;16.37;0.07;0.00;13.82;2.48;1,882.54;749.96;34.37;66.43;773.45;34.17;122.35;78.72;21.56;1.53;442.46;317.71;124.75;2,423.86
Mar13;131.64;96.75;34.88;15.80;0.11;0.00;11.05;4.65;2,236.32;866.24;41.01;89.44;936.14;30.93;113.90;137.21;17.84;3.61;482.73;336.28;146.45;2,866.48
Abr13;121.75;97.14;24.61;20.95;0.11;2.55;13.81;4.48;1,770.95;546.21;42.12;60.07;738.11;46.64;168.64;133.98;33.55;1.63;477.03;351.74;125.30;2,390.69
May13;35.99;23.44;12.55;44.22;0.13;0.00;27.56;16.53;2,092.27;857.76;40.48;79.52;779.68;17.53;184.62;109.28;20.60;2.80;454.69;341.89;112.79;2,627.17
Jun13;121.04;111.97;9.08;54.41;0.07;1.05;49.96;3.34;1,898.46;778.81;40.32;48.74;663.49;44.31;170.94;121.57;29.05;1.24;362.90;272.58;90.32;2,436.82
Jul13;239.95;193.97;45.98;89.22;0.08;0.79;84.46;3.89;1,854.95;772.08;39.14;48.99;642.61;65.10;155.51;105.07;24.89;1.55;329.97;240.81;89.16;2,514.09
Ago13;325.33;268.87;56.46;118.32;0.29;0.83;110.51;6.69;2,311.99;955.97;58.33;90.37;834.44;56.84;115.00;170.71;28.24;2.08;467.13;390.66;76.46;3,222.77
Sep13;204.97;167.36;37.61;106.44;0.37;2.63;100.37;3.07;1,983.18;923.32;40.41;60.02;599.70;42.68;206.19;79.63;29.46;1.78;431.75;319.74;112.01;2,726.34
Oct13;150.81;96.47;54.34;114.30;0.03;3.29;109.04;1.94;1,986.39;868.70;50.44;81.85;649.29;46.87;113.26;139.40;34.26;2.32;434.27;345.52;88.75;2,685.77
Nov13;42.77;24.22;18.54;109.59;0.05;2.77;93.42;13.35;1,762.74;796.42;49.24;82.14;526.83;38.46;123.37;117.14;27.35;1.79;430.03;321.27;108.77;2,345.13
Dic13;174.43;163.47;10.96;63.59;0.29;0.02;60.51;2.77;2,048.46;923.46;41.27;65.17;634.33;40.91;195.64;86.09;59.61;1.98;429.79;321.99;107.81;2,716.27
Ene14;271.86;214.51;57.35;27.39;0.10;3.10;21.25;2.94;1,588.84;588.83;52.65;72.74;566.93;35.56;114.04;131.55;25.16;1.38;339.15;250.57;88.59;2,227.25
Feb14;235.75;194.42;41.33;26.08;0.15;0.42;20.80;4.71;1,708.16;840.24;43.79;84.86;500.05;53.93;37.16;119.58;26.81;1.74;393.31;304.51;88.80;2,363.31
Mar14;180.95;119.72;61.23;37.24;0.13;7.14;14.39;15.57;1,641.01;604.71;61.45;58.02;582.26;49.09;150.17;106.67;26.80;1.82;409.75;318.41;91.34;2,268.95
Abr14;80.64;64.58;16.06;15.17;0.39;1.43;9.10;4.25;1,690.65;775.74;50.16;67.69;493.09;35.31;105.89;137.08;23.63;2.06;470.42;414.16;56.26;2,256.89
May14;77.83;59.51;18.32;24.15;0.46;0.85;17.67;5.18;1,705.99;730.39;43.21;75.58;550.74;40.96;114.92;108.21;39.58;2.40;383.91;328.34;55.57;2,191.88
Jun14;174.97;131.66;43.31;55.31;0.64;0.48;43.40;10.79;1,586.18;670.07;44.48;58.80;550.69;20.95;118.14;113.21;8.08;1.77;461.18;429.67;31.50;2,277.63
Jul14;184.63;164.41;20.22;84.62;0.11;0.00;80.91;3.60;1,701.25;690.59;45.69;50.82;570.30;21.57;193.29;87.97;33.39;7.64;412.02;343.69;68.34;2,382.53
Ago14;164.16;112.49;51.66;123.61;0.55;3.82;114.23;5.00;1,964.58;909.53;43.49;17.96;607.66;11.58;161.98;156.26;54.95;1.16;373.60;332.33;41.27;2,625.94
Sep14;89.56;66.34;23.23;130.79;0.10;3.80;124.07;2.82;1,801.07;846.54;45.03;42.48;606.64;17.88;105.64;108.75;26.53;1.57;394.02;348.58;45.44;2,415.44
Oct14;59.40;46.99;12.41;134.91;0.76;4.34;126.86;2.96;1,814.64;730.23;49.42;53.12;590.20;15.95;192.19;143.83;34.76;4.95;327.85;262.39;65.46;2,336.81
Nov14;117.22;84.06;33.16;105.02;0.30;3.92;97.79;3.00;1,550.10;711.26;21.67;38.91;507.89;12.05;87.07;134.31;31.59;5.34;322.12;242.32;79.80;2,094.46
Dic14;93.54;76.42;17.13;83.14;0.04;7.82;63.63;11.65;1,792.93;776.79;38.52;25.71;602.62;16.23;142.03;156.11;28.89;6.03;274.94;200.95;73.99;2,244.55
Ene15;108.12;66.01;42.11;19.02;0.00;2.45;12.29;4.27;1,552.84;544.79;36.37;42.93;603.57;13.37;135.08;145.21;29.49;2.03;197.78;149.42;48.36;1,877.76
Feb15;37.99;29.33;8.66;13.96;0.25;0.00;9.57;4.14;1,452.86;587.77;32.54;34.32;509.28;10.27;131.69;125.35;21.03;0.61;203.31;160.81;42.49;1,708.12
Mar15;29.54;20.36;9.18;13.82;0.27;0.02;7.19;6.34;1,493.32;596.36;32.10;26.10;542.63;10.75;140.01;113.81;29.33;2.24;250.85;192.73;58.12;1,787.52
Abr15;29.62;19.24;10.38;16.61;0.55;3.78;7.82;4.47;1,409.46;549.62;29.50;38.51;551.94;13.88;96.15;114.61;12.49;2.77;221.96;179.86;42.10;1,677.66
May15;156.29;147.37;8.92;28.62;0.56;0.01;21.99;6.06;1,456.04;562.83;16.05;23.41;525.67;11.29;160.90;128.02;24.87;3.00;156.93;140.67;16.26;1,797.88
Jun15;253.15;218.77;34.38;40.28;0.09;0.05;34.71;5.42;1,762.73;840.00;36.03;38.57;551.43;11.06;120.52;143.81;15.56;5.74;238.15;204.48;33.66;2,294.31
Jul15;170.89;134.09;36.80;84.56;0.26;0.04;66.86;17.39;1,522.21;664.72;22.06;28.45;543.73;12.74;88.57;143.74;15.41;2.78;182.94;151.72;31.22;1,960.60
Ago15;187.38;134.80;52.57;85.36;0.12;0.03;79.02;6.19;1,727.98;808.20;27.28;34.39;523.43;11.56;154.97;141.82;22.19;4.15;192.65;160.01;32.64;2,193.36
Sep15;161.00;112.70;48.29;116.58;0.04;0.03;111.92;4.59;1,437.76;592.40;23.23;6.61;579.01;8.86;106.28;112.08;8.58;0.71;140.89;123.60;17.29;1,856.23
Oct15;164.54;147.67;16.87;114.94;0.76;4.38;105.19;4.61;1,692.79;771.96;26.59;31.10;639.89;12.58;99.02;95.25;15.87;0.54;184.50;138.76;45.74;2,156.77
Nov15;110.29;95.99;14.30;90.79;0.29;0.53;86.16;3.80;1,572.19;757.68;22.46;25.86;471.43;12.21;142.70;128.48;11.16;0.21;180.11;144.60;35.51;1,953.38
Dic15;48.13;31.58;16.56;98.22;0.04;7.04;70.95;20.19;1,869.95;891.21;37.46;19.75;608.59;9.22;172.39;115.49;13.65;2.19;152.25;106.57;45.68;2,168.56
Ene16;39.25;19.49;19.76;38.02;0.18;4.60;28.87;4.38;1,367.59;612.77;22.32;24.28;528.39;6.72;49.56;105.45;17.51;0.58;129.77;111.02;18.75;1,574.63
Feb16;147.72;126.85;20.87;26.33;0.10;1.95;18.61;5.67;1,391.71;591.33;19.76;18.89;488.89;12.16;160.42;88.07;11.12;1.05;94.78;73.06;21.72;1,660.54
Mar16;181.69;143.72;37.97;27.16;0.00;5.36;17.09;4.70;1,681.27;721.27;29.21;27.09;630.63;7.49;143.95;106.27;15.29;0.08;132.06;106.78;25.29;2,022.19
Abr16;142.18;105.20;36.98;15.86;0.03;0.65;8.52;6.67;1,757.94;873.28;25.81;35.06;605.59;9.90;94.71;92.02;21.49;0.08;101.24;80.47;20.77;2,017.22
May16;74.41;53.53;20.88;18.47;0.19;2.07;12.46;3.75;1,715.67;829.01;27.05;47.88;556.93;8.45;124.78;108.75;11.99;0.84;208.67;171.89;36.78;2,017.22
Jun16;53.35;34.69;18.66;34.92;0.19;0.71;30.17;3.85;1,655.92;648.91;28.20;15.85;699.30;10.58;122.45;102.74;26.56;1.35;151.22;123.49;27.73;1,895.42
Jul16;140.41;131.68;8.74;77.68;0.00;1.77;70.34;5.57;2,034.22;1,012.25;29.52;34.58;673.61;12.01;156.32;88.73;26.24;0.96;205.56;158.00;47.57;2,457.88
Ago16;172.42;145.49;26.93;128.14;0.23;0.02;116.87;11.03;1,898.79;837.36;30.40;28.82;646.81;6.15;147.30;172.01;29.15;0.80;162.84;118.24;44.60;2,362.20
Sep16;136.50;107.83;28.66;123.98;0.12;0.03;120.55;3.29;1,882.94;772.77;26.57;15.23;714.57;17.08;179.09;121.64;35.13;0.85;183.30;152.20;31.10;2,326.72
Oct16;56.88;29.28;27.60;157.79;0.19;10.81;117.26;29.53;2,099.02;1,128.40;38.94;24.36;602.35;9.21;120.79;140.91;29.49;4.58;261.50;197.92;63.57;2,575.18
Nov16;17.86;8.01;9.85;121.10;0.30;0.32;118.04;2.44;2,007.83;922.20;24.94;43.82;614.10;10.82;195.53;169.16;26.02;1.23;246.08;174.34;71.74;2,392.86
Dic16;106.58;93.14;13.44;108.48;0.02;0.02;103.79;4.65;2,326.17;1,221.35;41.53;27.67;664.53;9.88;162.91;173.02;22.67;2.61;339.67;225.92;113.74;2,880.89
Ene17;202.38;171.24;31.14;52.18;0.03;5.79;42.63;3.74;1,785.03;873.70;27.35;42.50;564.54;7.54;99.91;146.65;19.18;3.66;280.73;214.86;65.87;2,320.32
Feb17;246.22;221.26;24.96;33.34;0.18;0.63;16.52;16.02;2,198.27;1,152.10;27.81;18.22;614.18;9.05;156.37;192.89;23.39;4.26;266.60;184.51;82.08;2,744.43
Mar17;168.64;143.11;25.53;16.62;0.15;0.02;12.88;3.57;1,986.75;1,013.77;35.31;36.27;607.20;10.01;79.03;174.89;27.42;2.85;245.42;193.84;51.58;2,417.43
Abr17;119.53;72.96;46.57;11.36;0.28;0.02;6.06;5.00;1,935.85;932.35;34.13;56.79;643.06;9.15;114.86;122.63;21.77;1.11;266.54;222.10;44.44;2,333.27
May17;110.20;85.85;24.35;30.42;0.20;0.30;24.82;5.09;2,181.19;1,081.79;34.37;43.27;612.09;9.65;138.56;228.83;29.52;3.09;249.58;195.99;53.60;2,571.39
Jun17;314.65;285.62;29.03;40.24;0.10;0.02;37.10;3.02;2,358.36;1,186.06;27.30;27.81;736.31;10.69;149.20;188.69;26.85;5.46;199.63;156.21;43.42;2,912.87
Jul17;298.53;254.46;44.06;66.91;0.13;0.02;64.34;2.42;1,865.30;839.84;31.23;30.82;627.24;9.79;134.95;157.20;30.10;4.12;224.23;200.35;23.88;2,454.97
Ago17;168.31;136.22;32.09;97.86;0.12;0.03;93.90;3.81;2,451.64;1,185.23;34.25;37.13;825.89;10.43;162.79;160.29;29.26;6.38;316.64;247.45;69.19;3,034.44
Sep17;88.06;57.96;30.11;115.24;0.00;0.85;111.57;2.82;2,914.37;1,501.22;31.38;41.41;871.34;8.57;184.82;233.78;37.27;4.59;268.02;206.99;61.03;3,385.70
Oct17;39.49;16.64;22.85;146.37;0.00;7.60;118.47;20.30;2,442.69;1,233.44;33.12;6.06;713.55;11.90;167.85;234.76;39.25;2.76;311.89;256.24;55.65;2,940.45
Nov17;23.37;10.07;13.30;125.45;0.00;2.00;106.91;16.55;2,645.49;1,418.77;25.81;47.10;701.19;10.50;162.28;243.25;36.48;0.12;338.15;244.61;93.54;3,132.47
Dic17;9.14;3.33;5.80;90.89;0.00;1.01;78.70;11.17;2,816.67;1,426.69;28.42;47.00;753.88;10.76;175.51;314.65;47.36;12.39;401.43;273.54;127.89;3,318.11
Ene18;11.25;4.24;7.01;47.53;0.00;0.20;41.38;5.95;2,461.81;1,225.76;33.12;47.71;769.20;10.81;128.94;211.64;32.50;2.12;426.67;324.89;101.78;2,947.26
